,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9366238619560449,0.9434450487667734,0.8275862068965517,0.8181818181818181
1,1,0.9579306922164065,0.9601911971831077,0.872093023255814,0.9101123595505618
2,2,0.9644876782303683,0.9674388385499496,0.8620689655172413,0.8505747126436781
3,3,0.9853490575712799,0.951764099969107,0.8850574712643678,0.8571428571428572
4,4,0.9421073309962199,0.9689365710251258,0.8620689655172413,0.8850574712643678
5,5,0.9740930810270827,0.9874816314289999,0.8850574712643678,0.9186046511627907
6,6,0.9633100578383816,0.9653359831931261,0.8588235294117648,0.8837209302325582
7,7,0.9452536457885898,0.9438282768797581,0.75,0.7045454545454546
8,8,0.9387608696666373,0.9729459546974647,0.8588235294117648,0.8850574712643678
9,9,0.948033890820776,0.9653125628872731,0.8604651162790697,0.872093023255814
