,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9693613864623356,0.9712719929254559,0.8735632183908046,0.8863636363636364
1,1,0.9961890083318655,0.9770057235185902,0.9418604651162791,0.898876404494382
2,2,0.9670473883924177,0.9669496191718414,0.7701149425287357,0.8620689655172413
3,3,0.9902564324786547,0.989543704174002,0.9195402298850575,0.9047619047619048
4,4,0.9773356184467296,0.9954128547278088,0.8735632183908046,0.9425287356321839
5,5,0.9758716174756276,0.9994444444444444,0.896551724137931,0.9186046511627907
6,6,0.96861035545053,0.9939681468252898,0.8705882352941177,0.9418604651162791
7,7,0.9313379100000273,0.9558158518074329,0.8181818181818181,0.875
8,8,0.9748246206072725,0.9753831053399646,0.8941176470588236,0.9080459770114943
9,9,0.982267483578959,0.983067027946228,0.813953488372093,0.8488372093023255
