,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8966065747613998,0.9009740259740259,0.8275862068965517,0.872093023255814
1,1,0.9207188160676534,0.9340909090909092,0.8505747126436781,0.8333333333333334
2,2,0.9566544566544567,0.8672768878718535,0.8765432098765432,0.7857142857142857
3,3,0.956060606060606,0.9233449477351916,0.8089887640449438,0.8313253012048193
4,4,0.8903654485049833,0.9582452431289641,0.788235294117647,0.9080459770114943
5,5,0.9313142239048134,0.9291125541125541,0.872093023255814,0.8488372093023255
6,6,0.9261363636363636,0.9330686330119116,0.8977272727272727,0.8214285714285714
7,7,0.9130434782608696,0.9302325581395349,0.8314606741573034,0.8554216867469879
8,8,0.9434460887949261,0.9696609161213563,0.8620689655172413,0.926829268292683
9,9,0.9431438127090301,0.9173553719008265,0.9176470588235294,0.8636363636363636
