,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9628483562392104,0.954736031697362,0.8735632183908046,0.8636363636363636
1,1,0.9793536493536493,0.9812829611757671,0.9069767441860466,0.898876404494382
2,2,0.9732247686717193,0.9632547988103544,0.896551724137931,0.8390804597701149
3,3,0.974177684177684,0.9765050837348047,0.9080459770114943,0.9047619047619048
4,4,0.9767011600344934,0.9952582876141772,0.896551724137931,0.9655172413793104
5,5,0.933048590692701,0.975601289548658,0.8045977011494253,0.8255813953488372
6,6,0.9587841418233612,0.9878304321161465,0.8235294117647058,0.9302325581395349
7,7,0.962077883343342,0.9759089303743785,0.875,0.8863636363636364
8,8,0.9721671727953022,0.9834442966108196,0.8705882352941177,0.9310344827586207
9,9,0.9610490147375392,0.9810805410132648,0.8023255813953488,0.872093023255814
